company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Hexaware Technologies,,5-10 Yrs,,MEARN Full Stack EngineerLocations: Bangalore / Chennai / Pune / Mumbai / Noida / Hyder...,,"India, Bengaluru, Mumbai (All Areas)",MEARN Full Stack Engineer,,,2026-03-06 12:57:31 +0000,,"Vue.Js,Azure Cloud,Javascript,Node.Js,Nextjs,Nuxtjs,Microsoft Azure,Cloud",
Genpact,,8-13 Yrs,,"Exp- 7-15 years . Location- Mumbai, Bangalore . NP- max 30 days . Mode-Hybrid, 12-10 PM...",,"Hybrid - Bengaluru, Mumbai (All Areas)",ML Engineer/Data Scientist,,,2026-03-06 12:57:31 +0000,,"Snowflake,Machine Learning,Data Bricks,Unity Catalog,Python,Data Science,Catalog,Ml",
Deutsche Bank,,5-8 Yrs,,"The process involves input, investigation, and correction where we have discrepanc...",,Mumbai,Corporate Actions & Income Analyst NCT,,,2026-03-06 12:57:31 +0000,,"Claims,Corporate actions,Excel,Senior Analyst,Event management,Reconciliation,HTML,Training and Development",
BDO India,,0-1 Yrs,,"Preparing deliverables capturing implications arrived based on above research, in word,...",,"Mumbai, Bengaluru",CA Fresher - M&A Tax and Regulatory Advisory,,,2026-03-06 12:57:31 +0000,,"Taxation,Advisory,Ca,Regulatory,M",
Hexaware Technologies,,9-14 Yrs,,"JD: • Mainframe skills - Mandatory: COBOL, JCL and DFSORT, DB2 • Having knowledge in an...",,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)",Mainframe Architect,,,2026-03-06 12:57:31 +0000,,"Mainframes,Modernization,VSAM,IDMS,SAS,Data Structures,Datacom,DFSORT",
Capgemini,,6-11 Yrs,,"Preferred candidate profile . Strong programming experience in Java 8+, Spring Boot, JP...",,"Hybrid - Bangalore Rural, Bengaluru, Mumbai (All Areas)",Java Aws Developer,,,2026-03-06 12:57:31 +0000,,"Spring Boot,AWS,Microservices,Java,Boot,Spring,Development",
Deloitte Consulting,,4-7 Yrs,,"Your role will be essential in enabling clients to streamline their operations, monitor...",,Mumbai,"Consultant | Celonis | | Operations, Industry & Domain Solutions",,,2026-03-06 12:57:31 +0000,,"Mining,Computer science,Automation,Process optimization,SAP,Project management,Analytical,Agile",
NTT DATA Business Solutions,,7-12 Yrs,,SAP Certification in preferred Must have at least 1-2 Implementation on S4 Hana version...,,"Hyderabad, Bengaluru, Mumbai (All Areas)",Senior Sap Fico Consultant,,,2026-03-06 12:57:31 +0000,,"SAP FICO,End To End Implementation,Controlling,S4 Hana,Copa,Product Costing,SAP CO,Material Ledger",
Accenture,,3-8 Yrs,,"Experience :Minimum 3+ years of experience in Data Science, Machine Learning, or relate...",,Mumbai,S&C Global Network - AI - FS Banking & Capital-Consultant,,,2026-03-06 12:57:31 +0000,,"ai,kubernetes,python,c,data analysis,batch processing,machine learning,banking",
BDO India,,0-1 Yrs,,Experience- FresherMotivating the Articles & providing them the required training on th...,,"Hybrid - Mumbai, Hyderabad, Gurugram",Associate- Risk Advisory (Internal Audit),,,2026-03-06 12:57:31 +0000,,"Internal Audit,Internal Control,Risk Assurance,Ifc,Risk Advisory,Internal Control Review,Risk Based Audits,Process Audit",
Deloitte Consulting,,0 Yrs,,"Your potential, unleashed.Indias impact on the global economy has increased at an expo...",,"Chennai, Bengaluru, Mumbai (All Areas)","Assistant Manager | Direct Tax (EXPAT Tax) |Mumbai, Bangalore, Chennai",,,2026-03-06 12:57:31 +0000,,"Direct Tax,DTAA,Individual Taxation,HNI,NRI,Assistance,Management,Expat",
Tata Consultancy Services,,6-8 Yrs,,Experience with PostgreSQL and MongoDB (or similar non-SQL environments). Experience as...,,"Mumbai, Gurugram, Bengaluru",.NET Software Developer,,,2026-03-06 12:57:31 +0000,,"React.Js,Javascript And Jquery,.Net core & core with cloud,Postgresql,Agile,MongoDB,Development,Javascript",
Tata Consultancy Services,,3-5 Yrs,,Experience: 3-5. Experience in writing validation report . Methods: Historical simulati...,,"Pune, Bengaluru, Mumbai (All Areas)",Market Risk Analyst,,,2026-03-06 12:57:31 +0000,,"FRM,Market Risk,Liquidity Risk,Risk,Liquidity",
Tata Consultancy Services,,5-10 Yrs,,"Experience - 5- 10 Yrs . Location- Chennai, Bangalore, Kolkata, Pune, Mumbai .",,"Pune, Bengaluru, Mumbai (All Areas)",Java Spring Boot Developer,,,2026-03-06 12:57:31 +0000,,"Java,Spring Boot,Microservices,Spring,Development,Boot,Java Spring Boot",
Tata Consultancy Services,,5-8 Yrs,,Greetings!TCS India presents excellent opportunities for IT professionals.Role :- Snow...,,"Pune, Chennai, Mumbai (All Areas)",Snowflake Developer,,,2026-03-06 12:57:31 +0000,,"Snowflake,ETL,SQL,Java,Python,Development",
Cisco,,3-5 Yrs,,". Cisco emphasizes a culture of inclusion and diversity, encouraging employees to bring...",,"Mumbai, Gurugram, Bengaluru","Solutions Engineer, Networking Architecture",,,2026-03-06 12:57:31 +0000,,"Wireless,Sales,Networking,Consulting,Manager Technology,Presales,SMB,Sales process",
Citiustech,,6-11 Yrs,,"Technical Lead for MLOPSLocation: Mumbai, Pune, Bangalore, ChennaiNotice Period: Immedi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",MLOPs - Technical Specialist/Lead,,,2026-03-06 12:57:31 +0000,,"MLOps,ML Lifecycle Management,AWS Sagemaker,Machine Learning,Data Science,AWS,Life Cycle Management,Life cycle",
Accenture,,8-13 Yrs,,A cross Levels - Comms & Media- Networks Join our team in Strategy consulting to find e...,,"Mumbai, Pune, Gurugram",GN-Comms & Media -Mobile Private Networks Senior Manager,,,2026-03-06 12:57:31 +0000,,"Network technologies,database system,Network operations,PLC,Network Analytics,Wireless network technologies,network architecture,SCADA",
Atos,,4-8 Yrs,,"Dear Candidate, This is with reference for Opportunity for Scala /python professionals...",,"Pune, Bengaluru, Mumbai (All Areas)","Opportunity For Scala, Python with SQL Professionals",,,2026-03-06 12:57:31 +0000,,"GCP,SCALA,Python,SQL",
Hexaware Technologies,,9-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Hyderabad, Pune, Mumbai (All Areas)",Senior Python Developer,,,2026-03-06 12:57:31 +0000,,"Pyspark,Fast Api,Aws Glue,React.Js,Python,Glue,Senior,Development",
Capgemini,,6-11 Yrs,,Required Skills . Backend Skills Cloud platforms (AWS / Azure / GCP preferred),,"Hybrid - Bangalore Rural, Gurugram, Mumbai (All Areas)",Java Full Stack Developer,,,2026-03-06 12:57:31 +0000,,"Fullstack Development,React.Js,Microservices,Spring Boot,Full Stack,Bootstrap,Boot,Stack",
Capgemini,,6-9 Yrs,,exposure to SAP modules is highly preferredStrong experience in manual testing,,"Mumbai, Pune, Bengaluru",Manual Testing Engineer - SAP,,,2026-03-06 12:57:31 +0000,,"Manual Testing,software development,SAP,software design,test cases,software engineering,research,SDLC",
Capgemini,,4-9 Yrs,,Experience with SAP implementation projects from start to finish,,"Mumbai, Pune, Bengaluru",SAP Consultant (BTP / BW4 / MDG),,,2026-03-06 12:57:31 +0000,,"SAP implementation,RAP,MDG,BW4HANA,SAP BTP,BTP stack,ABAP CDS,Abap",
Atos,,10-13 Yrs,,"Experience: 10 years + Strong experience with Ruby on Rails, along with common librarie...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",ROR Technical Architect,,,2026-03-06 12:57:31 +0000,,"Resque,Rspec,Ruby Rails,Javascript,Ror,Database,Ruby,DBMS",
Hexaware Technologies,,8-12 Yrs,,"Strong experience in frameworks/ modules like Spring Core, Spring MVC, Spring AOP, Spri...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Java Full Stack Lead,,,2026-03-06 12:57:31 +0000,,"Java,S3,EC2,Spring Boot,react,Java Fullstack,AWS,Lambda",
Hexaware Technologies,,8-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Pune, Chennai, Mumbai (All Areas)",Python with React.js,,,2026-03-06 12:57:31 +0000,,"Fast Api,React.Js,AWS,Python,API",
Atos,,9-12 Yrs,,"Role: SailPoint IIQ DeveloperExperience: 7yrs-12yrsLocation: Bangalore, Mumbai, PuneRe...",,"Pune, Bengaluru, Mumbai (All Areas)",SailPoint Identity IQ Lead,,,2026-03-06 12:57:31 +0000,,"Iiq,Sailpoint,Identityiq,Sailpoint Identity Management,IQ,Identity management,Management",
Capco,,5-9 Yrs,,Awarded with Consultancy of the year in the British Bank Award and has been ranked Top ...,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Sr AWS Data Engineer,,,2026-03-06 12:57:31 +0000,,"Automation,GCP,Data modeling,Management consulting,Scheduling,Data quality,AWS,Analytics",
BDO India,,0-1 Yrs,,Experience- FresherMotivating the Articles & providing them the required training on th...,,"Hybrid - Mumbai, Hyderabad, Gurugram",Associate- Risk Advisory (Internal Audit),,,2026-03-06 13:08:16 +0000,,"Internal Audit,Internal Control,Risk Assurance,Ifc,Risk Advisory,Internal Control Review,Risk Based Audits,Process Audit",
Deloitte Consulting,,0 Yrs,,"Your potential, unleashed.Indias impact on the global economy has increased at an expo...",,"Chennai, Bengaluru, Mumbai (All Areas)","Assistant Manager | Direct Tax (EXPAT Tax) |Mumbai, Bangalore, Chennai",,,2026-03-06 13:08:16 +0000,,"Direct Tax,DTAA,Individual Taxation,HNI,NRI,Assistance,Management,Expat",
Tata Consultancy Services,,6-8 Yrs,,Experience with PostgreSQL and MongoDB (or similar non-SQL environments). Experience as...,,"Mumbai, Gurugram, Bengaluru",.NET Software Developer,,,2026-03-06 13:08:16 +0000,,"React.Js,Javascript And Jquery,.Net core & core with cloud,Postgresql,Agile,MongoDB,Development,Javascript",
Tata Consultancy Services,,3-5 Yrs,,Experience: 3-5. Experience in writing validation report . Methods: Historical simulati...,,"Pune, Bengaluru, Mumbai (All Areas)",Market Risk Analyst,,,2026-03-06 13:08:16 +0000,,"FRM,Market Risk,Liquidity Risk,Risk,Liquidity",
Tata Consultancy Services,,5-10 Yrs,,"Experience - 5- 10 Yrs . Location- Chennai, Bangalore, Kolkata, Pune, Mumbai .",,"Pune, Bengaluru, Mumbai (All Areas)",Java Spring Boot Developer,,,2026-03-06 13:08:16 +0000,,"Java,Spring Boot,Microservices,Spring,Development,Boot,Java Spring Boot",
Tata Consultancy Services,,5-8 Yrs,,Greetings!TCS India presents excellent opportunities for IT professionals.Role :- Snow...,,"Pune, Chennai, Mumbai (All Areas)",Snowflake Developer,,,2026-03-06 13:08:16 +0000,,"Snowflake,ETL,SQL,Java,Python,Development",
Cisco,,3-5 Yrs,,". Cisco emphasizes a culture of inclusion and diversity, encouraging employees to bring...",,"Mumbai, Gurugram, Bengaluru","Solutions Engineer, Networking Architecture",,,2026-03-06 13:08:16 +0000,,"Wireless,Sales,Networking,Consulting,Manager Technology,Presales,SMB,Sales process",
Citiustech,,6-11 Yrs,,"Technical Lead for MLOPSLocation: Mumbai, Pune, Bangalore, ChennaiNotice Period: Immedi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",MLOPs - Technical Specialist/Lead,,,2026-03-06 13:08:16 +0000,,"MLOps,ML Lifecycle Management,AWS Sagemaker,Machine Learning,Data Science,AWS,Life Cycle Management,Life cycle",
Accenture,,8-13 Yrs,,A cross Levels - Comms & Media- Networks Join our team in Strategy consulting to find e...,,"Mumbai, Pune, Gurugram",GN-Comms & Media -Mobile Private Networks Senior Manager,,,2026-03-06 13:08:16 +0000,,"Network technologies,database system,Network operations,PLC,Network Analytics,Wireless network technologies,network architecture,SCADA",
Atos,,4-8 Yrs,,"Dear Candidate, This is with reference for Opportunity for Scala /python professionals...",,"Pune, Bengaluru, Mumbai (All Areas)","Opportunity For Scala, Python with SQL Professionals",,,2026-03-06 13:08:16 +0000,,"GCP,SCALA,Python,SQL",
Hexaware Technologies,,9-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Hyderabad, Pune, Mumbai (All Areas)",Senior Python Developer,,,2026-03-06 13:08:16 +0000,,"Pyspark,Fast Api,Aws Glue,React.Js,Python,Glue,Senior,Development",
Capgemini,,6-11 Yrs,,Required Skills . Backend Skills Cloud platforms (AWS / Azure / GCP preferred),,"Hybrid - Bangalore Rural, Gurugram, Mumbai (All Areas)",Java Full Stack Developer,,,2026-03-06 13:08:16 +0000,,"Fullstack Development,React.Js,Microservices,Spring Boot,Full Stack,Bootstrap,Boot,Stack",
Capgemini,,6-9 Yrs,,exposure to SAP modules is highly preferredStrong experience in manual testing,,"Mumbai, Pune, Bengaluru",Manual Testing Engineer - SAP,,,2026-03-06 13:08:16 +0000,,"Manual Testing,software development,SAP,software design,test cases,software engineering,research,SDLC",
Capco,,5-9 Yrs,,Awarded with Consultancy of the year in the British Bank Award and has been ranked Top ...,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Sr AWS Data Engineer,,,2026-03-06 13:08:16 +0000,,"Automation,GCP,Data modeling,Management consulting,Scheduling,Data quality,AWS,Analytics",
Capgemini,,4-9 Yrs,,Experience with SAP implementation projects from start to finish,,"Mumbai, Pune, Bengaluru",SAP Consultant (BTP / BW4 / MDG),,,2026-03-06 13:08:16 +0000,,"SAP implementation,RAP,MDG,BW4HANA,SAP BTP,BTP stack,ABAP CDS,Abap",
Atos,,10-13 Yrs,,"Experience: 10 years + Strong experience with Ruby on Rails, along with common librarie...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",ROR Technical Architect,,,2026-03-06 13:08:16 +0000,,"Resque,Rspec,Ruby Rails,Javascript,Ror,Database,Ruby,DBMS",
Hexaware Technologies,,8-12 Yrs,,"Strong experience in frameworks/ modules like Spring Core, Spring MVC, Spring AOP, Spri...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Java Full Stack Lead,,,2026-03-06 13:08:16 +0000,,"Java,S3,EC2,Spring Boot,react,Java Fullstack,AWS,Lambda",
Hexaware Technologies,,8-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Pune, Chennai, Mumbai (All Areas)",Python with React.js,,,2026-03-06 13:08:16 +0000,,"Fast Api,React.Js,AWS,Python,API",
Atos,,9-12 Yrs,,"Role: SailPoint IIQ DeveloperExperience: 7yrs-12yrsLocation: Bangalore, Mumbai, PuneRe...",,"Pune, Bengaluru, Mumbai (All Areas)",SailPoint Identity IQ Lead,,,2026-03-06 13:08:16 +0000,,"Iiq,Sailpoint,Identityiq,Sailpoint Identity Management,IQ,Identity management,Management",
Accenture,,2-5 Yrs,,About The Role  Job Title: Junior Data Scientist / AI Engineer (Entry-Level) for Public...,,Mumbai,S&C Global Network - AI - Public Services- Analyst,,,2026-03-06 13:08:16 +0000,,"ai,python,c,data management,power bi,numpy,machine learning,artificial intelligence",
Hiring Client,,3-6 Yrs,,Required Skills & Experience  About the Role We are looking for dynamic Sales Executive...,,"Bengaluru, Mumbai (All Areas)",Sales Manager (Analytics & AI Services),,,2026-03-06 13:08:16 +0000,,"Business Intelligence,Data Engineering,AI Services,Sales,qlik sense,BFSI account,BI,Enterprise Business",
Tata Consultancy Services,,3-5 Yrs,,Role** Quant Analytics Sr. Associate- Model RiskLocation of Requirement Chennai/Bangalo...,,"Mumbai, Hyderabad, Chennai",Quant Analytics Sr. Associate- Model Risk,,,2026-03-06 13:08:16 +0000,,"FRM,Monte Carlo,Validation report,Liquidity Risk,Market Risk,Risk,Analytics,SR",
Capgemini,,6-10 Yrs,,Greetings from Capgemini!We are excited to invite experienced professionals for Azure D...,,"Bengaluru, Mumbai (All Areas)",Consultant_ Senior Consultant_ Manager,,,2026-03-06 13:08:16 +0000,,"Azure Devops,Azure Pass service,Azure APIM,Ci/Cd,Cd,Microsoft Azure,Management,Senior",
Kantar,,3-8 Yrs,,"Qualified accountant with 5+ years of experience (ACA, ICWAI, MBA (Fin), CA Inter, MCom...",,"Hybrid - Bengaluru, Mumbai (All Areas)",FP&A Manager,,,2026-03-06 13:08:16 +0000,,"Financial Planning And Analysis,Financial Planning,Budgeting,Forecasting,Planning,Financial analysis,Finance",
Capgemini,,6-11 Yrs,,Must Have,,"Hybrid - Bengaluru, Mumbai (All Areas)",Consultant / Senior Consultant/ Manager,,,2026-03-06 13:08:16 +0000,,"Azure,.net,Angular,Microsoft Azure,Consulting,Management,Senior",
Capgemini,,5-10 Yrs,,Greetings from Capgemini!We are excited to invite experienced professionals for Azure D...,,"Hybrid - Bengaluru, Mumbai (All Areas)",Consultant _ Senior Consultant _ Manager,,,2026-03-06 13:08:16 +0000,,"Azure Cloud,Azure.net,Angular,Microsoft Azure,Consulting,Management,Senior,Cloud",
Hexaware Technologies,,8-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Chennai, Bengaluru, Mumbai (All Areas)",Python+React+Fast API+AWS,,,2026-03-06 13:08:16 +0000,,"Fast api,React.Js,AWS,Python,API",
Capgemini,,14 Mar,,Required Skills Experience Range : 5 to 13 years,,"Hybrid - Bengaluru, Mumbai (All Areas)",Face To Face Drive - Java Backend and Full stack (Mumbai/BNG),,,2026-03-06 13:08:16 +0000,,"java,Full Stack,Spring Boot,Microservices,Java Fullstack,React.Js,AWS,Angular",
Deloitte Consulting,,5-10 Yrs,,"Certification in OutSystems / Mendix . Docker . CI / CD, DevOps . .",,Mumbai,Manager | Dot Net Azure Full Stack,,,2026-03-06 13:08:16 +0000,,"Data management,Performance management,Postgresql,Machine learning,Javascript,ASP.Net,Information management,Business intelligence",
Hexaware Technologies,,6-9 Yrs,,Experience building and maintaining component libraries or design systems.,,"Chennai, Bengaluru, Mumbai (All Areas)",Application Front end Developer /Lead,,,2026-03-06 13:08:16 +0000,,"Javascript,React.Js,Angular,CSS,GIT,Typescript,HTML,Ci/Cd",
Hexaware Technologies,,5-10 Yrs,,MEARN Full Stack EngineerLocations: Bangalore / Chennai / Pune / Mumbai / Noida / Hyder...,,"India, Bengaluru, Mumbai (All Areas)",MEARN Full Stack Engineer,,,2026-03-06 13:08:16 +0000,,"Vue.Js,Azure Cloud,Javascript,Node.Js,Nextjs,Nuxtjs,Microsoft Azure,Cloud",
Genpact,,8-13 Yrs,,"Exp- 7-15 years . Location- Mumbai, Bangalore . NP- max 30 days . Mode-Hybrid, 12-10 PM...",,"Hybrid - Bengaluru, Mumbai (All Areas)",ML Engineer/Data Scientist,,,2026-03-06 13:08:16 +0000,,"Snowflake,Machine Learning,Data Bricks,Unity Catalog,Python,Data Science,Catalog,Ml",
Deutsche Bank,,5-8 Yrs,,"The process involves input, investigation, and correction where we have discrepanc...",,Mumbai,Corporate Actions & Income Analyst NCT,,,2026-03-06 13:08:16 +0000,,"Claims,Corporate actions,Excel,Senior Analyst,Event management,Reconciliation,HTML,Training and Development",
BDO India,,0-1 Yrs,,"Preparing deliverables capturing implications arrived based on above research, in word,...",,"Mumbai, Bengaluru",CA Fresher - M&A Tax and Regulatory Advisory,,,2026-03-06 13:08:16 +0000,,"Taxation,Advisory,Ca,Regulatory,M",
Hexaware Technologies,,9-14 Yrs,,"JD: • Mainframe skills - Mandatory: COBOL, JCL and DFSORT, DB2 • Having knowledge in an...",,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)",Mainframe Architect,,,2026-03-06 13:08:16 +0000,,"Mainframes,Modernization,VSAM,IDMS,SAS,Data Structures,Datacom,DFSORT",
